model	gen	abs_mean	abs95d	abs95u
GraphRNN	1	0.6278608	0.6252157	0.6305060
GraphRNN	2	0.7910773	0.7742150	0.8079395
GraphRNN	3	0.9558636	0.9491661	0.9625611
GraphRNN	4	0.9691209	0.9688565	0.9693852
GraphRNN	5	0.9665462	0.9663158	0.9667766
GraphRNN	6	0.9625056	0.9622579	0.9627533
GraphRNN	7	0.9588179	0.9585895	0.9590464
GraphRNN	8	0.9553888	0.9550531	0.9557245
GraphRNN	9	0.9530623	0.9527771	0.9533474
GraphRNN	10	0.9419464	0.9414263	0.9424665
GraphRNN	11	0.9249328	0.9242518	0.9256138
GraphRNN	12	0.9061212	0.9050587	0.9071838
